nohup: 忽略输入
Sat, 28 Jul 2018 10:19:43 +0800 | INFO   | server     |  | Serving using application   : /usr/bin/php checkPortStatus.php
Sat, 28 Jul 2018 10:33:12 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745192781267353' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:33:25 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745192781267353' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10552' | DISCONNECT
Sat, 28 Jul 2018 10:33:33 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745213459674449' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:33:37 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745213459674449' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10555' | DISCONNECT
Sat, 28 Jul 2018 10:37:56 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745476303866994' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 10:41:00 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532745476303866994' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'10564' | DISCONNECT
Sat, 28 Jul 2018 11:05:57 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532747157630019298' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 11:06:24 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532747157630019298' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'11889' | DISCONNECT
Sat, 28 Jul 2018 11:25:48 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532748348948242349' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 11:27:20 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532748348948242349' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'12834' | DISCONNECT
Sat, 28 Jul 2018 13:10:03 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532754603340542026' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 13:12:22 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532754603340542026' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'14646' | DISCONNECT
Sat, 28 Jul 2018 13:12:23 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532754743563364938' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 13:12:57 +0800 | ACCESS | session    | url:'http://thinkpad:8080/' id:'1532754743563364938' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'14709' | DISCONNECT
Sat, 28 Jul 2018 13:12:58 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754778101509988' remote:'192.168.0.100' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 13:13:16 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754796109228031' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' | CONNECT
Sat, 28 Jul 2018 13:13:40 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754796109228031' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' pid:'14820' | DISCONNECT
Sat, 28 Jul 2018 13:16:03 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754963696814082' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' | CONNECT
Sat, 28 Jul 2018 13:16:28 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754963696814082' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' pid:'14860' | DISCONNECT
Sat, 28 Jul 2018 13:17:07 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532755027769765300' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' | CONNECT
Sat, 28 Jul 2018 13:49:34 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532755027769765300' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' pid:'14880' | DISCONNECT
Sat, 28 Jul 2018 13:50:37 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532757037195610328' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' | CONNECT
Sat, 28 Jul 2018 13:53:59 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532757037195610328' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' pid:'15795' | DISCONNECT
Sat, 28 Jul 2018 13:56:02 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532757362262287645' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' | CONNECT
Sat, 28 Jul 2018 13:56:41 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532757362262287645' remote:'192.168.0.106' command:'/usr/bin/php' origin:'http://192.168.0.100' pid:'15908' | DISCONNECT
Sat, 28 Jul 2018 14:15:32 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532754778101509988' remote:'192.168.0.100' command:'/usr/bin/php' origin:'http://localhost' pid:'14792' | DISCONNECT
Sat, 28 Jul 2018 14:15:33 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532758533202334105' remote:'192.168.0.100' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Sat, 28 Jul 2018 14:15:35 +0800 | ACCESS | session    | url:'http://192.168.0.100:8080/' id:'1532758533202334105' remote:'192.168.0.100' command:'/usr/bin/php' origin:'http://localhost' pid:'16578' | DISCONNECT
